Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
,Lufkin 613 Depth Gauge,10,15,5,9/7/22,183,"2lbs, 15x7x6",,,,,,,,,
,Lufkin 513 Depth Gauge,10,15,5,8/18/22,179,"2lbs, 9x7x6",,,,,,,,,
,"Astd Inspection Equiptment, Old welding glasses, pin spanners",25,,,,,,,,,,,,,,
,Federal Gauge + Mitutoyo Case,5,,,,,,,,,,,,,,
,Mitutoyo Case (from above),,,,,181,"2lbs, 13x9x6",,,,,,,,,
,Interapid Internal Bore Gauge,10,,,,,,,,,,,,,,
,Stewart Warner RPM Ind + Astd Indicators,10,,,,,,,,,,,,,,
,Bokum Boring Head,30,,,,,,,,,,,,,,
,Eclipse 934 Magnetic V Block,30,80,50,8/26/22,184,"12lbs, 13x10x10",,,,,,,,,
,Eclipse 934 Magnetic V Block,25,,,,,,,,,,,,,,
,"Van Keuran Gage Block Set, 0.100-2.0""",20,,,,,,,,,,,,,,
,18%,216.9,0,-216.9,,,,,,,,,,,,
,Tax,142.19,0,-142.19,,,,,,,,,,,,
,,1564.09,2541,,,,,,,,,,,,,
8/28,Motor+Gearbox,10,,,,,,,,,,,,,,
,Set Cleveland Letter Drills,12,,,,,,,,,,,,,,
,Lot from Justin,115,110.98,,,,,,,,,,,,,
,"Astd Craftsman Sockets 23, 10 SAE, 13 Metric",,4.99,,10/6/22,206,"4lbs, 9x7x6",,,,,,,,,
,Astd Taiwan Sockets 14,,,,,207,"3lbs, 8x8x5",,,,,,,,,
,Astd Deep Well Sockets 16,,0.99,,10/14/22,208,"5lbs, 9x7x6",,,,,,,,,
,Astd Sockets 7 + 1 impact,,,,,209,"2lbs, 9x6x4 (1.4lbs)",,,,,,,,,
,Misc American Sockets 14,,4.99,,10/14/22,210,"3lbs, 10x5x4",,,,,,,,,
,Misc Taps/Dies,,,,,211,"5lbs, 8x7x5",,,,,,,,,
,Chisholm Moore Chain Hoise Puller Comealong 3/4-B Ton,,80,,10/13/22,213,"17lbs, 30x8x7",,,,,,,,,
,Toledo No 00 Racheting Pipe Die Kit,,,,,215,"16lbs, 23x10x8",,,,,,,,,
,New Set in Case Craftsman 3/8 SAE Sockets,,,,,217,"3lbs, 16x8x5",,,,,,,,,
,"3 Pipe Wrenches (18"",14""x2), Spain, Sears, Craftsman",,,,,218,"16lbs, 14x12x8",,,,,,,,,
,"2 Pipe Wrenches ( 19"", 12"") Ridgid",,20.01,,10/15/22,219,"14lbs, 14x12x8",,,,,,,,,
,"2 Air Rachets (3/8"") Chicago Pneumatic, Sanborn",,,,,220,"7lbs, 13x8x8",,,,,,,,,
,Ridgid No 2 Pipe Cutter,,,,,221,"8lbs, 18x8x7",,,,,,,,,
,"Chain Hoist, Hand Powered, unbranded",,0,,,222,"11lbs, 26x8x8",Thrown Out,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9/17,"GTD Go/No go Thread Gage Set, 1/4-1"", UNC",50,150,100,9/18/22,212,"13lbs, 25x11x7",,,,,,,,,
,Milwaukee 1854-1 Super Hole Shooter,60,,,,,,,,,,,,,,
,13lbs Scrap Carbide,60,74.61,14.61,11/14/22,214,"16lbs, 11x8x7","(Sold for 90, buyer didn't receive, paid 15.39 for shipping correct box)",,,,,,,,
,"Kitagawa 10"" Hydraulic Chuck in orig box HJA6-10-1",40,586.74,546.74,2/29/24,216,"99lbs, 21x16x10",,,,,,,,,
,Festo Machine Fixture,20,,,,,,,,,,,,,,
,LOT Astd Taper Tool Holders,60,,,,,,,,,,,,,,
,Astd Woodruff Keys,10,,,,,,,,,,,,,,
,18%,54,0,-54,,,,,,,,,,,,
,Tax,35.4,0,-35.4,,,,,,,,,,,,
9/21,"Lot: Boring Bars, Lathe Insert Cutters & Small Boring Heads",50,,,,,,,,,,,,,,
,Lot 4 Jacobs Chucks,100,335,235,,,,,,,,,,,,
,228-A Jacobs Chuck - W/ Key,,55,,11/19/22,229,"5lbs, 9x8x6",,,,,,,,,
,228-B Jacobs Chuck - W/ Key,,95,,11/6/22,230,"8lbs, 11x8x6",,,,,,,,,
,228-C Jacobs Chuck - W/ Key,,90,,11/6/22,231,"8lbs, 11x8x6",,,,,,,,,
,228-D Jacobs Chuck - W/ Key,,95,,11/3/22,232,"7lbs, 9x7x6",,,,,,,,,
,Gesswein Ultra Max Rotary Tool w/Accessories,50,1200,1150,4/28/22,273,"52lbs, 25x22x21",,,,,,,,,
,Optidress - E,250,,,,,,,,,,,,,,
,Bowers Sylvac 25 Digital Bore Gauge Set,50,,,,226,"13lbs, 17x12x11",,,,,,,,,
,Lot,50,327.24,277.24,,,,,,,,,,,,
,Flowmeter,,,,,,,,,,,,,,,
,Pratt Whitney Sigmatic Tester,,,,,,,,,,,,,,,
,Alnor Portable Pyrometer,,,,,,,,,,,,,,,
,Mahr Federal Indicator Stand,,67.24,,10/18/23,223,"35lbs, 19x18x15",,,,,,,,,
,"Mitutoyo Digital Indicator 543-564-1, 2.4"" Travel",,260,,11/22/22,225,"5lbs, 13x13x11",,,,,,,,,
,Lot,50,260,210,,,,,,,,,,,,
,"Cadillac Height Gauge 12""",,100,,10/4/22,224,"43lbs, 25x20x20",,,,,,,,,
,"Mitutoyo 12"" Dial Height Gauge",,160,,12/17/22,227,"15lbs, 26x15x11",,,,,,,,,
,Tax,66.08,0,-66.08,,,,,,,,,,,,
,18%,126,0,-126,,,,,,,,,,,,
9/28,St. Mary Motorized Centerless Grinding Fixture,45,,,,,,,,,,,,,,
,18%,8.1,0,-8.1,,,,,,,,,,,,
,Rectifier (3) - 2W02G GENERAL SEMICONDUCTOR DIODE BRIDGE GPP 2.0A 200V WOB,8.55,0,-8.55,,,For Optidress,,,,,,,,,
10/11,Kennedy Two Drawer Tool Box,40,30,-10,7/12/23,296,"51lbs, 35x25x18",,,,,,,,,
,Taft Peirce 202 Right Angle Plate,25,202.5,177.5,12/12/22,228,"56lbs, 28x16x16",,,,,,,,,
,BIAX TYPE IV E/B SCRAPER WITH STEEL CASE,550,,,,,,,,,,,,,,
,Astd Carbide-Tip Taper Shank Drill Bits,10,,,,,,,,,,,,,,
,Starrett Inside Micrometer W/ Standards,35,,,,,,,,,,,,,,
,Cole-Parmer 8213-20 Tachometer,15,,,,,,,,,,,,,,
,4' Straight Edge,50,,,,,,,,,,,,,,
,"18"" Straight Edge",70,,,,,,,,,,,,,,
,18%,143.1,0,-143.1,,,,,,,,,,,,
10/14,Bearing - ND New Departure Steel Cased Ball Bearing 87008,14.29,0,-14.29,,,For Dumore Drill Press,,,,,,,,,
,"Bearing - DELCO NEW DEPARTURE HYATT CWC87006 WC87006 BEARING 0.25"" X 0.94"" X 0.40"" A560",8.79,0,-8.79,,,For Dumore Drill Press,,,,,,,,,
10/27,"Ridgid 60"" Pipe Wrench",60,,,,,,,,,,,,,,
,"2 - 30""x15""x60"" Sheet Meal Shelving Units",10,,,,,,,,,,,,,,
,"4 - Pallet Racks 48""x24""x84""",44,,,,,,,,,,,,,,
,Tax,9.98,0,-9.98,,,,,,,,,,,,
,18%,20.52,0,-20.52,,,,,,,,,,,,
11/11/22,Miller Maxstar 210 DX,1404,,,,,Sterling and Knight Pawn Shop,,,,,,,,,
12/15,"Mitutoyo1.4-4"" Bore Gauge Set, 3 Bore Gages",150,,,,249,"11lbs,24x18x10",,,,,,,,,
,25 Steel Round Bar Cutoffs,35,,,,,,,,,,,,,,
,Enco Dickson-Style QCTP W/ 5 Tool Holders,125,363.64,238.64,,247,"80lbs, 23x14x11",,,,,,,,,
,18%,55.8,0,-55.8,,,,,,,,,,,,
,Tax,0,0,0,,,,,,,,,,,,
12/17,Milwaukee 1675-1 Hole Hawg Drill,40,59.93,19.93,9/30/23,300,"31lbs, 23x19x14",NOTE: RECORD SHIPPING PRICE,,,,,,,,
,Astd Micromet Lot,15,,,,,,,,,,,,,,
,"Brown Sharpe 230 Micrometer 0-3/8""",,,,,,,,,,,,,,,
,Brown Sharpe 599-578-1 Dial Calipers W/ Sarrett Case,20,,,,,,,,,,,,,,
,Super Six Adjustable Reamer Set,25,130,105,1/14/22,238,"10lbs, 14x11x9",,,,,,,,,
,Clausing No. 1765 Floor Drill Press,375,,,,,,,,,,,,,,
,Clausing No. 16VC-1 Floor Drill Press,200,,,,,,,,,,,,,,
,18%,121.5,0,-121.5,,,,,,,,,,,,
,Tax,79.65,0,-79.65,,,,,,,,,,,,
,Craftsman Floor Model Drill Press,23,,,,,,,,,,,,,,
,Robbins Myers Gear Motor,81.95,0,-81.95,,,,,,,,,,,,
1/3,Moebius 9010 2ml Light Clock Oil,43.99,0,-43.99,,,,,,,,,,,,
1/10/23,Lot 2 Ultrasonic Leak Detectors,10,255,245,,,,,,,,,,,,
,Mitchell Asonics Son-Tector 110-M Ultrasonic Leak Detector,,255,,7/20/23,290,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,18%,1.8,,,,,,,,,,,,,,
2/16,Tax,0.13,,,,,,,,,,,,,,
,Lot in safe,400,1750,1350,,,,,,,,,,,,
,Bridgeport Right Angle Milling Head W/ Horiz Support and arbor A,,850,,4/14/23,270,"50lbs, 18x12x12",,,,,,,,,
,Bridgeport Right Angle Milling Head W/ Horiz Support and arbor B,,900,,4/2/23,271,"50lbs, 18x12x12",,,,,,,,,
,"Lot 1"" Drive Sockets",20,,,,,,,,,,,,,,
,"Lot on pallets (LOT MISC. TOOLING, HAND TOOLS, GAUGE STAND, DIAL INDICATORS, RUBBER MAT, CENTERS, MISC. ON 2-SKIDS)",150,-8.32,-158.32,,,,,,,,,,,,
,Indicators,,,,,,,,,,,,,,,
,Indicator Stands,,,,,,,,,,,,,,,
,Sharpies,,,,,,,,,,,,,,,
,Travadials (3),,,,,,,,,,,,,,,
,Drywall and Concrete Anchors,,,,,299,"13lbs, 20x10x9",,,,,,,,,
,Astd Sorted Allen Wrenches (NOS),,-8.32,,9/12/23,298,"11lbs, 20x10x9",,,,,,,,,
,Mag Drill,175,,,,,,,,,,,,,,
,Astd Mitutoyo micrometers in cases,200,518,318,,,,,,,,,,,,
,Mitutoyo 6-12 Interchangable Anvil Mic 104-138,,230,,4/1/23,266,"19lbs, 24x19x9",,,,,,,,,
,"Mitutoyo 0-6"" Interch. Anvil Mic 204-137",,125,,3/15/22,267,"9lbs, 17x11x6",,,,,,,,,
,"Mitutoyo 6-7"" Digit Micrometer 193-217",,73,,3/9/23,268,"8lbs, 17x11x7",,,,,,,,,
,"Mitutoyo 0-3"" Mic set 193-923",,90,,3/1/23,269,"7lbs, 17x11x7",,,,,,,,,
,"Powermatic 14"" Drill Press",200,,,,,,,,,,,,,,
,18%,206.1,0,-206.1,,,,,,,,,,,,
,Tax,135.11,0,-135.11,,,,,,,,,,,,
3/13/23,1979 F-350,4000,,,,,Paid wire on 3/13,,,,,,,,,
3/30/23,Lot 1,200,325,125,,,,,,,,,,,,
,SPI 18-piece Angle Grinding Gauge Set,,,,,,,,,,,,,,,
,Starrett Radius Gage Set 5167C,,,,,,,,,,,,,,,
,"Mituotyo 1-2"" Micrometer 202-106",,,,,283,"1lb 1oz, 9x7x4",,,,,,,,,
,"Fowler 0-1"" Digital Micrometer 54-815-001-2 EDP#:16595",,,,,,,,,,,,,,,
,"Fowler 0-1"" Digital Micrometer 54-815-001-2 EDP#:16595",,,,,,,,,,,,,,,
,"Fowler 2-3"" Micrometer W/ Case and Standard, 0.0001""",,40,,6/25/23,285,"3lbs,13x9x6",,,,,,,,,
,"Fowler 0-6"" Depth Micrometer 0.001""",,65,,5/15/23,284,"4lbs, 15x10x8",,,,,,,,,
,"Huot 1/16-1/2"" Long Drill Bit Set",,,,,,,,,,,,,,,
,"Jacobs Chuck 1/2"" W/ Key, No 34, Straight Shank",,,,,,,,,,,,,,,
,"Jacobs Chuck 3/4"" W/ Key, No 36, MT4 A",,85,,4/27/23,278,"6lbs, 9x7x7",,,,,,,,,
,Skoda MT3 Live Center,,135,,4/28/23,281,"3lbs, 8x8x6",,,,,,,,,
,Dumore Hand Grinder 8555-210,,,,,,,,,,,,,,,
,Lot 2,65,20,-45,,,,,,,,,,,,
,Surface Gauge (Unbranded),,20,,5/8/23,282,"4lbs, 15x10x4",,,,,,,,,
,"Interapid 0.0005"" Test Indicator 312B-1",,,,,,,,,,,,,,,
,Starrett Protractor No C493B,,,,,,,,,,,,,,,
,"Mitutoyo 6"" Combination Square W/ Center Finder (And Scribe!)",,,,,,,,,,,,,,,
,"Mitutoyo 6"" Combination Square W/ Center Finder",,,,,,,,,,,,,,,
,Mitutoyo Center Finder 180-202,,,,,280,"1lbs 1oz, 8x8x6",,,,,,,,,
,Starrett Adjustable Parallel Set 3/8-2 1/4 No S 154 L,,,,,,,,,,,,,,,
,"Starrett Adjustable Parallels (4), C,D,D, and F",,,,,,,,,,,,,,,
,"Mitutoyo 12"" Digital Height Master In Orig Box",50,,,,,,,,,,,,,,
,Criterion Boring Head DBL-203,30,180,150,4/26/23,279,"7lbs, 9x7x6",,,,,,,,,
4/4/23,Criterion Boring Head DBL-206,50,375,325,7/30/23,286,"48lbs, 17x11x10",,,,,,,,,
,18%,9,,,,,,,,,,,,,,
,Tax,5.9,,,,,,,,,,,,,,
4/14/23,Rothenberger Tee Extractor Kit,50,325,275,7/13/23,288,"11lbs, 18x10x8",,,,,,,,,
,Miller Maxstar 200 Welder S/N ME240309L,700,,,,,,,,,,,,,,
,18%,135,,,,,,,,,,,,,,
4/18/23,"LOT: Cross Slide T-Slot Table, Pin Gages, V-Block, Setup Blocks",175,232.61,57.61,,,,,,,,,,,,
,(Phase II?) Cross Slide T-Slot Table,,150,,6/22/23,287,"43lbs, 20x14x14",,,,,,,,,
,Vermont Pin Gage Set,,82.61,,,289,"39lbs,21x17x13",NOTE: RECORD SHPPING PRICE,,,,,,,,
,18%,31.5,,,,,,,,,,,,,,
,Tax,17.56,,,,,,,,,,,,,,
5/3/23,Carbide Lot,110,0,-110,,,,Sold in 291,,,,,,,,
,Carbide Lot,110,510,400,6/16/23,291,"55lbs, 14x11x11",Both lots sold in this one,,,,,,,,
,Milwaukee 3/4 Drill,35,,,,,,,,,,,,,,
,18%,45.9,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
5/23/23,Bridgeport No 2 Boring Head Set W/ Case,110,215,105,7/13/23,294,"16lbs, 18x12x12",,,,,,,,,
,18%,19.8,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
6/18/23,"3 Socket Organizers (2-3/8, 1-1/2)",10,,,,,,,,,,,,,,
,1-1/8 Williams Socket,3,,,,,,,,,,,,,,
,Rope,5,,,,,,,,,,,,,,
,Dwell Tachometer,3,,,,,,,,,,,,,,
,1-1/8 Impact Socket,5,,,,,,,,,,,,,,
,GM Factory AM/FM Radio,10,,,,,,,,,,,,,,
,0000 and 000 Steel Wool,3,,,,,,,,,,,,,,
6/29/23,Misc Machinist Junk from cleaning out bedroom storage,0,19.5,19.5,7/7/23,295,"56lbs, 18x13x13",,,,,,,,,
,Good Machinist Metrology Junk from cleaning out bedroom storage,0,147.5,147.5,8/11/23,297,"21lbs, 19x12x12",,,,,,,,,
,"Good Machinist Tooling Junk from cleaning out bedroom storage ( Tool Holders, Brown and Sharpe 750 C V Block)",0,,,,306,,,,,,,,,,
8/4/23,Lenox Hole Saw Kit with Case,25,,,,,,,,,,,,,,
,Yuasa DMNC-5C01 W/ Controller UDNC-M1,1600,,,,,,,,,,,,,,
,Wohlhaupter UPA5 NMBT-DT50 Boring Head (NOT CAT50),325,,,,303,"78lbs (76.5), 27x22x15",,,,,,,,,
,Lot 2 Eron 12x10x8 Angle Plates,110,302.52,192.52,,,,,,,,,,,,
,A,,162.4,,9/19/23,301,"90lbs (85.2) , 21x14x14",NOTE: RECORD SHIPPING PRICE,,,,,,,,
,B,,140.12,,10/17/23,302,"90lbs (88.1), 21x14x14",NOTE: RECORD SHIPPING PRICE,,,,,,,,
,Mitutoyo Digital Test Indicator W/ Mitutoyo 519-130 MU Checker,120,,,,,,,,,,,,,,
,DoALL Transfer Gage Comparator,10,,,,305,"35lbs (33.3) , 21x21x17",,,,,,,,,
,Federal Transfer Gage Comparator,25,,,,304,"56lbs (54.0), 21x21x17",,,,,,,,,
,6-Piece Tapered Plug Gage Set with Case,40,,,,,,,,,,,,,,
,Lot - Miscellaneous Inspection with (2) Cases,95,,,,,,,,,,,,,,
,Hermann Schmitt Angle Plate Case (EMPTY),,,,,,,,,,,,,,,
,Guide Pillar Fixture?,,,,,,,,,,,,,,,
,Lot,210,,,,,,,,,,,,,,
,Gage Balls,,,,,,,,,,,,,,,
,Mitutoyo Bore Gage Shrouds (Goes around indicator),,,,,,,,,,,,,,,
,"DoAll 6"" Optical Flat 1147 Accuracy:0.000002""",,,,,,,,,,,,,,,
,Van Kuren Optical Flat,,,,,,,,,,,,,,,
8/20/23,Lot ,2.5,,,,,,,,,,,,,,
,Starrett Square With Head,2.5,,,,,,,,,,,,,,
,Stanley Battery Jump Starter,33,,,,,,,,,,,,,,
,NOS Sargent 51 Plane,25,,,,,,,,,,,,,,
,Chain,5,,,,,,,,,,,,,,
,Smoke Machine,10,,,,,,,,,,,,,,
8/27/23,Black and Decker Random Orbital Polisher,20,,,,,,,,,,,,,,
,2.5Gal Blitz Metal Gas Tank,7,,,,,,,,,,,,,,
,Timing Light,3,,,,,,,,,,,,,,
,Snap On Compression Tester Set,94.6,,,,,,,,,,,,,,
12/13/23,ASSORTED TORRINGTON BEARINGS,20,,,,,Heath - Dimex,,,,,,,,,
,HARIG 5C POWERED SPIN FIXTURE,550,,,,308,"27lbs 8oz (27.3lbs), 17x14x11",,,,,,,,,
,"SUBURBAN 6"" X 6"" MAGNETIC SINE TABLE",225,,,,307,"37lbs (36.2), 16x14x10",,,,,,,,,
,"(2) RIGHT ANGLE PLATES 8"" X 5"" X 12""",80,,,,,,,,,,,,,,
,Suburban Right Angle Plate 8x5x12 (A),,,,,309,"51lbs (49.1lbs), 17x14x12",,,,,,,,,
,Suburban Right Angle Plate 8x5x12 (B),,,,,310,"51lbs (47.0lbs), 17x14x12",,,,,,,,,
,18%,157.5,,,,,,,,,,,,,,
,Tax,103.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,2022 eBay Fees:,,2196.51,,,
,,,,,,,,,,,2022 Auction Fees:,,1328.02,,,
,,,,,,,,,,,,Bought,,Sold,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total 2022,18251.96,,26183.75,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total + Sales of items bought before 2022,,,27502.21,,
,,,,,,,,,,,Personal,3416.94,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Business,14835.02,,27502.21,12667.19,
,,,,,,,,,,,Total Profit after storage and taxes,,,,10050.471,34.41942123
,,,,,,,,,,,Unsold Inventory Aquired in 2022,4411.4,,,,
,,,,,,,,,,,"Unsold Inventory Aquired before 2022, not sold through 2022",210,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023,,,,,
,,,,,,,,,,,Total Bought,,5800,,,
,,,,,,,,,,,Total Taxes,,261.95,,,
,,,,,,,,,,,Total Fees,,471.6,,,
,,,,,,,,,,,Inventory from 2022 End,,4412,,,
,,,,,,,,,,,Cost of inventory sold 2023,,1378.8,,,
,,,,,,,,,,,Inventory End of 2023,,8833.2,,,